id	scene_id	person	gender	original_line	line	metadata	filename
1001	1	JOEY	M	Joey: Instead of...?	Instead of...?	Instead_CS21 of_CS22 ..._... ?_?	0101.txt
1101	1	CHANDLER	M	Chandler: That's right.	That's right.	That_DD1 's_VBZ right_JJ ._.	0101.txt
1201	1	JOEY	M	Joey: Never had that dream.	Never had that dream.	Never_RR had_VHD that_DD1 dream_NN1 ._.	0101.txt
1301	1	PHOEBE	F	Phoebe: No.	No.	No._NN1	0101.txt
1401	1	CHANDLER	M	Chandler: All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.	All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.	All_RR41 of_RR42 a_RR43 sudden_RR44 the_AT phone_NN1 starts_VVZ to_TO ring_VVI ._. Now_RT I_PPIS1 do_VD0 n't_XX know_VVI what_DDQ to_TO do_VDI everybody_PN1 starts_VVZ looking_VVG at_II me._NNU	0101.txt
1501	1	MONICA	F	Monica: And they weren't looking at you before?!	And they weren't looking at you before?!	And_CC they_PPHS2 were_VBDR n't_XX looking_VVG at_II you_PPY before_RT ?_? !_!	0101.txt
1601	1	CHANDLER	M	Chandler: Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!	Finally, I figure I'd better answer it, and it turns out it's my mother, which is very very weird, because- she never calls me!	Finally_RR I_PPIS1 figure_VV0 I_PPIS1 'd_VHD better_RRR answer_VVI it_PPH1 and_CC it_PPH1 turns_VVZ out_RP it_PPH1 's_VBZ my_APPGE mother_NN1 which_DDQ is_VBZ very_RG very_RG weird_JJ because-_NN1 she_PPHS1 never_RR calls_VVZ me_PPIO1 !_!	0101.txt
1701	1	ROSS	M	Ross: Hi.	Hi.	Hi_UH ._.	0101.txt
1801	1	JOEY	M	Joey: This guy says hello, I wanna kill myself.	This guy says hello, I wanna kill myself.	This_DD1 guy_NN1 says_VVZ hello_UH I_PPIS1 wan_VV0 na_TO kill_VVI myself_PPX1 ._.	0101.txt
1901	1	MONICA	F	Monica: Are you okay, sweetie?	Are you okay, sweetie?	Are_VBR you_PPY okay_JJ sweetie_NN1 ?_?	0101.txt
2001	1	ROSS	M	Ross: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...	I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...	I_ZZ1 just_RR feel_VV0 like_II someone_PN1 reached_VVD down_RP my_APPGE throat_NN1 grabbed_VVD my_APPGE small_JJ intestine_NN1 pulled_VVD it_PPH1 out_II21 of_II22 my_APPGE mouth_NN1 and_CC tied_VVD it_PPH1 around_RP my_APPGE neck_NN1 ..._...	0101.txt
2101	1	CHANDLER	M	Chandler: Cookie?	Cookie?	Cookie_NN1 ?_?	0101.txt
2201	1	MONICA	F	Monica: Carol moved her stuff out today.	Carol moved her stuff out today.	Carol_NP1 moved_VVD her_APPGE stuff_NN1 out_RP today_RT ._.	0101.txt
2301	1	JOEY	M	Joey: Ohh.	Ohh.	Ohh._NP1	0101.txt
2401	1	MONICA	F	Monica: Let me get you some coffee.	Let me get you some coffee.	Let_VV0 me_PPIO1 get_VVI you_PPY some_DD coffee_NN1 ._.	0101.txt
2501	1	ROSS	M	Ross: Thanks.	Thanks.	Thanks_NN2 ._.	0101.txt
2601	1	PHOEBE	F	Phoebe: Ooh! Oh! 	Ooh! Oh!	Ooh_UH !_! Oh_UH !_!	0101.txt
2701	1	ROSS	M	Ross: No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?	No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?	No_UH no_RR do_VD0 n't_XX !_! Stop_VV0 cleansing_VVG my_APPGE aura_NN1 !_! No_UH just_RR leave_VV0 my_APPGE aura_NN1 alone_JJ okay_RR ?_?	0101.txt
2801	1	PHOEBE	F	Phoebe: Fine!  Be murky!	Fine! Be murky!	Fine_JJ !_! Be_VB0 murky_JJ !_!	0101.txt
2901	1	ROSS	M	Ross: I'll be fine, alright? Really, everyone. I hope she'll be very happy.	I'll be fine, alright? Really, everyone. I hope she'll be very happy.	I_ZZ1 'll_VM be_VBI fine_JJ alright_RR ?_? Really_RR everyone_PN1 ._. I_PPIS1 hope_VV0 she_PPHS1 'll_VM be_VBI very_RG happy_JJ ._.	0101.txt
3001	1	MONICA	F	Monica: No you don't.	No you don't.	No_UH you_PPY don't._NNU	0101.txt
3101	1	ROSS	M	Ross: No I don't, to hell with her, she left me!	No I don't, to hell with her, she left me!	No_UH I_PPIS1 do_VD0 n't_XX to_II hell_NN1 with_IW her_PPHO1 she_PPHS1 left_VVD me_PPIO1 !_!	0101.txt
3201	1	JOEY	M	Joey: And you never knew she was a lesbian...	And you never knew she was a lesbian...	And_CC you_PPY never_RR knew_VVD she_PPHS1 was_VBDZ a_AT1 lesbian_NN1 ..._...	0101.txt
3301	1	ROSS	M	Ross: No! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?	No! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?	No_UH !_! Okay_RR ?_? !_! Why_RRQ does_VDZ everyone_PN1 keep_VVI fixating_VVG on_II that_DD1 ?_? She_PPHS1 did_VDD n't_XX know_VVI how_RRQ should_VM I_PPIS1 know_VVI ?_?	0101.txt
3401	1	CHANDLER	M	Chandler: Sometimes I wish I was a lesbian...  Did I say that out loud?	Sometimes I wish I was a lesbian... Did I say that out loud?	Sometimes_RT I_PPIS1 wish_VV0 I_PPIS1 was_VBDZ a_AT1 lesbian_NN1 ..._... Did_VDD I_PPIS1 say_VVI that_DD1 out_RP loud_RR ?_?	0101.txt
3501	1	ROSS	M	Ross: I told mom and dad last night, they seemed to take it pretty well.	I told mom and dad last night, they seemed to take it pretty well.	I_ZZ1 told_JJ mom_NN1 and_CC dad_NN1 last_MD night_NNT1 they_PPHS2 seemed_VVD to_TO take_VVI it_PPH1 pretty_RG well_RR ._.	0101.txt
3601	1	MONICA	F	Monica: Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., I'll never have grandchildren, I'll never have grandchildren. was what?  A wrong number?	Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., I'll never have grandchildren, I'll never have grandchildren. was what? A wrong number?	Oh_UH really_RR so_CS21 that_CS22 hysterical_JJ phone_NN1 call_NN1 I_PPIS1 got_VVD from_II a_AT1 woman_NN1 at_II sobbing_VVG 3:00_MC A.M._RA I_PPIS1 'll_VM never_RR have_VHI grandchildren_NN2 I_PPIS1 'll_VM never_RR have_VHI grandchildren_NN2 ._. was_VBDZ what_DDQ ?_? A_AT1 wrong_JJ number_NN1 ?_?	0101.txt
3701	1	ROSS	M	Ross: Sorry.	Sorry.	Sorry_JJ ._.	0101.txt
3801	1	JOEY	M	Joey: Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?	Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?	Alright_RR Ross_NP1 look_VV0 ._. You_PPY 're_VBR feeling_VVG a_AT1 lot_NN1 of_IO pain_NN1 right_RR now_RT ._. You_PPY 're_VBR angry_JJ ._. You_PPY 're_VBR hurting_VVG ._. Can_VM I_PPIS1 tell_VVI you_PPY what_DDQ the_AT answer_NN1 is_VBZ ?_?	0101.txt
3901	1	JOEY	M	Joey: Strip joint! C'mon, you're single! Have some hormones!	Strip joint! C'mon, you're single! Have some hormones!	Strip_NN1 joint_NN1 !_! C'm_VV0 on_RP you_PPY 're_VBR single_JJ !_! Have_VH0 some_DD hormones_NN2 !_!	0101.txt
4001	1	ROSS	M	Ross: I don't want to be single, okay? I just... I just- I just wanna be married again!	I don't want to be single, okay? I just... I just I just wanna be married again!	I_PPIS1 do_VD0 n't_XX want_VVI to_TO be_VBI single_JJ okay_RR ?_? I_PPIS1 just_RR ..._... I_MC1 just_JJ I_PPIS1 just_RR wan_VV0 na_TO be_VBI married_JJ again_RT !_!	0101.txt
4101	1	CHANDLER	M	Chandler: And I just want a million dollars! 	And I just want a million dollars!	And_CC I_PPIS1 just_RR want_VV0 a_AT1 million_NNO dollars_NNU2 !_!	0101.txt
4201	1	MONICA	F	Monica: Rachel?!	Rachel?!	Rachel_NP1 ?_? !_!	0101.txt
4301	1	RACHEL	F	Rachel: Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!	Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!	Oh_UH God_NP1 Monica_NP1 hi_UH !_! Thank_VV0 God_NP1 !_! I_PPIS1 just_RR went_VVD to_II your_APPGE building_NN1 and_CC you_PPY were_VBDR n't_XX there_RL and_CC then_RT this_DD1 guy_NN1 with_IW a_AT1 big_JJ hammer_NN1 said_VVD you_PPY might_VM be_VBI here_RL and_CC you_PPY are_VBR you_PPY are_VBR !_!	0101.txt
4401	1	WAITRESS	F	Waitress: Can I get you some coffee?	Can I get you some coffee?	Can_VM I_PPIS1 get_VVI you_PPY some_DD coffee_NN1 ?_?	0101.txt
4501	1	MONICA	F	Monica: De-caff. (to All) Okay, everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?	De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and you remember my brother Ross?	De-caff_NN1 ._. Okay_RR everybody_PN1 this_DD1 is_VBZ Rachel_NP1 another_DD1 Lincoln_NP1 High_JJ survivor_NN1 ._. This_DD1 is_VBZ everybody_PN1 this_DD1 is_VBZ Chandler_NP1 and_CC Phoebe_NP1 and_CC Joey_NP1 and-_JJ you_PPY remember_VV0 my_APPGE brother_NN1 Ross_NP1 ?_?	0101.txt
4601	1	RACHEL	F	Rachel: Hi, sure!	Hi, sure!	Hi_UH sure_JJ !_!	0101.txt
4701	1	ROSS	M	Ross: Hi.	Hi.	Hi_UH ._.	0101.txt
4801	1	MONICA	F	Monica: So you wanna tell us now, or are we waiting for four wet bridesmaids?	So you wanna tell us now, or are we waiting for four wet bridesmaids?	So_CS you_PPY wan_VV0 na_TO tell_VVI us_PPIO2 now_RT or_CC are_VBR we_PPIS2 waiting_VVG for_IF four_MC wet_JJ bridesmaids_NN2 ?_?	0101.txt
4901	1	RACHEL	F	Rachel: Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. (to Monica) So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.	Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.	Oh_UH God_NP1 ..._... well_RR it_PPH1 started_VVD about_II a_AT1 half_DB hour_NNT1 before_II the_AT wedding_NN1 ._. I_PPIS1 was_VBDZ in_II the_AT room_NN1 where_CS we_PPIS2 were_VBDR keeping_VVG all_DB the_AT presents_NN2 and_CC I_PPIS1 was_VBDZ looking_VVG at_II this_DD1 gravy_NN1 boat_NN1 ._. This_DD1 really_RR gorgeous_JJ Lamauge_NN1 gravy_NN1 boat_NN1 ._. When_CS all_DB of_IO a_AT1 sudden-_JJ Sweet_JJ 'n'_CC Lo_UH ?_? -_- I_PPIS1 realized_VVD that_CST I_PPIS1 was_VBDZ more_RRR turned_VVN on_RP by_II this_DD1 gravy_NN1 boat_NN1 than_CSN by_II Barry_NP1 !_! And_CC then_RT I_PPIS1 got_VVD really_RR freaked_VVN out_RP and_CC that_DD1 's_VBZ when_RRQ it_PPH1 hit_VVD me_PPIO1 :_: how_RGQ much_DA1 Barry_NP1 looks_VVZ like_II Mr._NNB Potato_NP1 Head_NN1 ._. Y'know_VV0 I_PPIS1 mean_VV0 I_PPIS1 always_RR knew_VVD looked_VVN familiar_JJ but_CCB ..._... Anyway_RR I_PPIS1 just_RR had_VHD to_TO get_VVI out_II21 of_II22 there_RL and_CC I_PPIS1 started_VVD wondering_VVG 'Why_NN1 am_VBM I_PPIS1 doing_VDG this_DD1 and_CC who_PNQS am_VBM I_PPIS1 doing_VDG this_DD1 for_IF ?_? '_GE ._. So_RR anyway_RR I_PPIS1 just_RR did_VDD n't_XX know_VVI where_RRQ to_TO go_VVI and_CC I_PPIS1 know_VV0 that_CST you_PPY and_CC I_PPIS1 have_VH0 kinda_RR drifted_VVN apart_RL but_CCB you_PPY 're_VBR the_AT only_JJ person_NN1 I_PPIS1 knew_VVD who_PNQS lived_VVD here_RL in_II the_AT city_NN1 ._.	0101.txt
5001	1	MONICA	F	Monica: Who wasn't invited to the wedding.	Who wasn't invited to the wedding.	Who_PNQS was_VBDZ n't_XX invited_VVN to_II the_AT wedding_NN1 ._.	0101.txt
5101	1	RACHEL	F	Rachel: Ooh, I was kinda hoping that wouldn't be an issue... [Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on.]	Ooh, I was kinda hoping that wouldn't be an issue...	Ooh_UH I_PPIS1 was_VBDZ kinda_RR hoping_VVG that_CST would_VM n't_XX be_VBI an_AT1 issue_NN1 ..._...	0101.txt
5201	2	MONICA	F	Monica: Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.	Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.	Now_RT I_PPIS1 'm_VBM guessing_VVG that_CST he_PPHS1 bought_VVD her_PPHO1 the_AT big_JJ pipe_NN1 organ_NN1 and_CC she_PPHS1 's_VBZ really_RR not_XX happy_JJ about_II it_PPH1 ._.	0101.txt
5301	2	CHANDLER	M	Chandler: Tuna or egg salad?  Decide!	Tuna or egg salad? Decide!	Tuna_NN or_CC egg_NN1 salad_NN1 ?_? Decide_VV0 !_!	0101.txt
5401	2	ROSS	M	Ross: I'll have whatever Christine is having.	I'll have whatever Christine is having.	I_ZZ1 'll_VM have_VHI whatever_DDQV Christine_NP1 is_VBZ having_VHG ._.	0101.txt
5501	2	RACHEL	F	Rachel: Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!	Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!	Daddy_NN1 I_PPIS1 just_RR ..._... I_PPIS1 ca_VM n't_XX marry_VVI him_PPHO1 !_! I_PPIS1 'm_VBM sorry_JJ ._. I_PPIS1 just_RR do_VD0 n't_XX love_VVI him_PPHO1 ._. Well_RR it_PPH1 matters_VVZ to_II me_PPIO1 !_!	0101.txt
5601	2	PHOEBE	F	Phoebe: If I let go of my hair, my head will fall off.	If I let go of my hair, my head will fall off.	If_CS I_PPIS1 let_VV0 go_NN1 of_IO my_APPGE hair_NN1 my_APPGE head_NN1 will_VM fall_VVI off_RP ._.	0101.txt
5701	2	CHANDLER	M	Chandler: Ooh, she should not be wearing those pants.	Ooh, she should not be wearing those pants.	Ooh_UH she_PPHS1 should_VM not_XX be_VBI wearing_VVG those_DD2 pants_NN2 ._.	0101.txt
5801	2	JOEY	M	Joey: I say push her down the stairs.	I say push her down the stairs.	I_ZZ1 say_VV0 push_VV0 her_PPHO1 down_II the_AT stairs_NN2 ._.	0101.txt
5901	2	PHOEBE, ROSS, CHANDLER, AND JOEY	U	Phoebe, Ross, Chandler, and Joey: Push her down the stairs! Push her down the stairs! Push her down the stairs!	Push her down the stairs! Push her down the stairs! Push her down the stairs!	Push_VV0 her_PPHO1 down_II the_AT stairs_NN2 !_! Push_VV0 her_PPHO1 down_II the_AT stairs_NN2 !_! Push_VV0 her_PPHO1 down_II the_AT stairs_NN2 !_!	0101.txt
6001	2	RACHEL	F	Rachel: C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!	C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!	C'm_VV0 on_RP Daddy_NN1 listen_VV0 to_II me_PPIO1 !_! It_PPH1 's_VBZ like_JJ it_PPH1 's_VBZ like_JJ all_DB of_IO my_APPGE life_NN1 everyone_PN1 has_VHZ always_RR told_VVN me_PPIO1 'You_NNU 're_VBR a_AT1 shoe_NN1 !_! You_PPY 're_VBR a_AT1 shoe_NN1 you_PPY 're_VBR a_AT1 shoe_NN1 you_PPY 're_VBR a_AT1 shoe_NN1 !_! '_GE ._. And_CC today_RT I_PPIS1 just_RR stopped_VVN and_CC I_PPIS1 said_VVD 'What_VV0 if_CS I_PPIS1 do_VD0 n't_XX wan_VVI na_TO be_VBI a_AT1 shoe_NN1 ?_? What_DDQ if_CS I_PPIS1 wan_VV0 na_TO be_VBI a-_ZZ1 a_AT1 purse_NN1 y'know_VV0 ?_? Or_CC a-_ZZ1 or_CC a_AT1 hat_NN1 !_! No_UH I_PPIS1 'm_VBM not_XX saying_VVG I_PPIS1 want_VV0 you_PPY to_TO buy_VVI me_PPIO1 a_AT1 hat_NN1 I_PPIS1 'm_VBM saying_VVG I_PPIS1 am_VBM a_AT1 ha-_NN1 It_PPH1 's_VBZ a_AT1 metaphor_NN1 Daddy_NN1 !_!	0101.txt
6101	2	ROSS	M	Ross: You can see where he'd have trouble.	You can see where he'd have trouble.	You_PPY can_VM see_VVI where_RRQ he_PPHS1 'd_VM have_VHI trouble_NN1 ._.	0101.txt
6201	2	RACHEL	F	Rachel: Look Daddy, it's my life. Well maybe I'll just stay here with Monica.	Look Daddy, it's my life. Well maybe I'll just stay here with Monica.	Look_NN1 Daddy_NN1 it_PPH1 's_VBZ my_APPGE life_NN1 ._. Well_RR maybe_RR I_PPIS1 'll_VM just_RR stay_VVI here_RL with_IW Monica_NP1 ._.	0101.txt
6301	2	MONICA	F	Monica: Well, I guess we've established who's staying here with Monica...	Well, I guess we've established who's staying here with Monica...	Well_RR I_PPIS1 guess_VV0 we_PPIS2 've_VH0 established_VVN who_PNQS 's_VBZ staying_VVG here_RL with_IW Monica_NP1 ..._...	0101.txt
6401	2	RACHEL	F	Rachel: Well, maybe that's my decision. Well, maybe I don't need your money. Wait! Wait, I said maybe!	Well, maybe that's my decision. Well, maybe I don't need your money. Wait! Wait, I said maybe!	Well_RR maybe_RR that_DD1 's_VBZ my_APPGE decision_NN1 ._. Well_RR maybe_RR I_PPIS1 do_VD0 n't_XX need_VVI your_APPGE money_NN1 ._. Wait_VV0 !_! Wait_VV0 I_PPIS1 said_VVD maybe_RR !_!	0101.txt
6501	2	MONICA	F	Monica: Just breathe, breathe.. that's it. Just try to think of nice calm things...	Just breathe, breathe.. that's it. Just try to think of nice calm things...	Just_RR breathe_VV0 breathe_VV0 .._... that_DD1 's_VBZ it_PPH1 ._. Just_RR try_VV0 to_TO think_VVI of_IO nice_JJ calm_JJ things_NN2 ..._...	0101.txt
6601	2	PHOEBE	F	Phoebe: Raindrops on roses and rabbits and kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...	Raindrops on roses and rabbits and kittens, bluebells and sleighbells and something with mittens... La la la la...something and noodles with string. These are a few...	Raindrops_NN2 on_II roses_NN2 and_CC rabbits_NN2 and_CC kittens_NN2 bluebells_NN2 and_CC sleighbells_NN2 and-_JJ something_PN1 with_IW mittens_NN2 ..._... La_FU la_FU la_FU la_FU ..._... something_PN1 and_CC noodles_VVZ with_IW string_NN1 ._. These_DD2 are_VBR a_AT1 few_DA2 ..._...	0101.txt
6701	2	RACHEL	F	Rachel: I'm all better now.	I'm all better now.	I_PPIS1 'm_VBM all_RR better_RRR now_RT ._.	0101.txt
6801	2	PHOEBE	F	Phoebe: I helped!	I helped!	I_ZZ1 helped_VVN !_!	0101.txt
6901	2	MONICA	F	Monica: Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.	Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.	Okay_RR look_VV0 this_DD1 is_VBZ probably_RR for_IF the_AT best_JJT y'know_VV0 ?_? Independence_NN1 ._. Taking_VVG control_NN1 of_IO your_APPGE life_NN1 ._. The_AT whole_NN1 'hat'_JJ thing_NN1 ._.	0101.txt
7001	2	JOEY	M	Joey: And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.	And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.	And_CC hey_UH you_PPY need_VV0 anything_PN1 you_PPY can_VM always_RR come_VVI to_II Joey_NP1 ._. Me_PPIO1 and_CC Chandler_NP1 live_VV0 across_II the_AT hall_NN1 ._. And_CC he_PPHS1 's_VBZ away_RL a_RR21 lot_RR22 ._.	0101.txt
7101	2	MONICA	F	Monica: Joey, stop hitting on her! It's her wedding day!	Joey, stop hitting on her! It's her wedding day!	Joey_NP1 stop_VV0 hitting_VVG on_II her_PPHO1 !_! It_PPH1 's_VBZ her_APPGE wedding_NN1 day_NNT1 !_!	0101.txt
7201	2	JOEY	M	Joey: What, like there's a rule or something?	What, like there's a rule or something?	What_DDQ like_CS there_EX 's_VBZ a_AT1 rule_NN1 or_CC something_PN1 ?_?	0101.txt
7301	2	CHANDLER	M	Chandler: Please don't do that again, it's a horrible sound.	Please don't do that again, it's a horrible sound.	Please_RR do_VD0 n't_XX do_VDI that_DD1 again_RT it_PPH1 's_VBZ a_AT1 horrible_JJ sound_NN1 ._.	0101.txt
7401	2	PAUL	M	Paul: It's, uh, it's Paul.	It's, uh, it's Paul.	It_PPH1 's_VBZ uh_UH it_PPH1 's_VBZ Paul_NP1 ._.	0101.txt
7501	2	MONICA	F	Monica: Oh God, is it 6:30?  Buzz him in!	Oh God, is it 6:30? Buzz him in!	Oh_UH God_NP1 is_VBZ it_PPH1 6:30_MC ?_? Buzz_FU him_PPHO1 in_RP !_!	0101.txt
7601	2	JOEY	M	Joey: Who's Paul?	Who's Paul?	Who_PNQS 's_VBZ Paul_NP1 ?_?	0101.txt
7701	2	ROSS	M	Ross: Paul the Wine Guy, Paul?	Paul the Wine Guy, Paul?	Paul_NP1 the_AT Wine_NN1 Guy_NP1 Paul_NP1 ?_?	0101.txt
7801	2	MONICA	F	Monica: Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?	Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?	Maybe_RR ._. Joey_NP1 :_: Wait_VV0 ._. Your_APPGE 'not_NN1 a_AT1 real_JJ date'_NN1 tonight_RT is_VBZ with_IW Paul_NP1 the_AT Wine_NN1 Guy_NP1 ?_?	0101.txt
7901	2	ROSS	M	Ross: He finally asked you out?	He finally asked you out?	He_PPHS1 finally_RR asked_VVD you_PPY out_RP ?_?	0101.txt
8001	2	MONICA	F	Monica: Yes!	Yes!	Yes_UH !_!	0101.txt
8101	2	CHANDLER	M	Chandler: Ooh, this is a Dear Diary moment.	Ooh, this is a Dear Diary moment.	Ooh_UH this_DD1 is_VBZ a_AT1 Dear_JJ Diary_NP1 moment_NN1 ._.	0101.txt
8201	2	MONICA	F	Monica: Rach, wait, I can cancel...	Rach, wait, I can cancel...	Rach_NP1 wait_VV0 I_PPIS1 can_VM cancel_VVI ..._...	0101.txt
8301	2	RACHEL	F	Rachel: Please, no, go, that'd be fine!	Please, no, go, that'd be fine!	Please_RR no_UH go_VV0 that_DD1 'd_VM be_VBI fine_JJ !_!	0101.txt
8401	2	MONICA	F	Monica: Are, are you okay? I mean, do you want me to stay?	Are, are you okay? I mean, do you want me to stay?	Are_VBR are_VBR you_PPY okay_JJ ?_? I_PPIS1 mean_VV0 do_VD0 you_PPY want_VVI me_PPIO1 to_TO stay_VVI ?_?	0101.txt
